Category,Type,TopicID,Name,Volumes,Color
2A,Spells,1,Basics of Spell,3,"linear-gradient(135deg, #ff3333, #990000)"
2A,Spells,2,Ancient Spell,3,"radial-gradient(circle, #ff4d4d, #aa0000, #4a0000)"
2A,Spells,3,Uses of Spell,3,"repeating-linear-gradient(45deg, #ff1a1a, #ff1a1a 7px, #b30000 7px, #b30000 14px)"
2A,Spells,4,Spell used in Modern Times,3,"repeating-radial-gradient(circle, #ff0000, #ff0000 5px, #800000 5px, #800000 12px)"
2A,Spells,5,Forbidden Spells,7,"repeating-radial-gradient(circle, #ff0000, #ff0000 5px, #800000 5px, #800000 12px)"
2A,Spells,6,Spells that Witches Used,7,"radial-gradient(circle, #004d4d, #aaaa00, #4a0000)"
2A,Spells,7,How to use Spells,7,"repeating-linear-gradient(90deg, #ff1a1a, #ff1a1a 7px, #b30000 7px, #b30000 14px)"
2A,Spells,8,Spells of Harry Potter,7,"repeating-linear-gradient(135deg, #ff1a1a, #ff1a1a 17px, #b30000 17px, #b30000 20px)"
1A,Literature,1,Classical Mythology,3,"linear-gradient(135deg, #ff9f43, #d35400)"
1A,Literature,2,Shakespearean Drama,3,"radial-gradient(circle, #ffb142, #e67e22, #a04000)"
1A,Literature,3,Romantic Era Poetry,3,"repeating-linear-gradient(45deg, #f39c12, #f39c12 10px, #d35400 10px, #d35400 20px)"
1A,Literature,4,Modernist Fiction,3,"repeating-radial-gradient(circle, #e67e22, #e67e22 5px, #ba4a00 5px, #ba4a00 12px)"
1A,Literature,5,Aincent Mythology,7,"linear-gradient(135deg, #ff9f43, #d35400)"
1A,Literature,6,Shakespearean Novels,7,"radial-gradient(circle, #ffb142, #e67e22, #a04000)"
1A,Literature,7,Roman Era Poetry,7,"repeating-linear-gradient(45deg, #f39c12, #f39c12 10px, #d35400 10px, #d35400 20px)"
1A,Literature,8,Modernist Romance Novel,7,"repeating-radial-gradient(circle, #e67e22, #e67e22 5px, #ba4a00 5px, #ba4a00 12px)"
2B,History,1,Early Eras History,10,"linear-gradient(135deg, #2ecc71, #1b5e20)"
2B,History,2,Medieval Chronicles,10,"radial-gradient(circle, #55efc4, #26de81, #006266)"
2B,History,3,Modern Century Dynamics,10,"repeating-linear-gradient(45deg, #00ff00, #00ff00 10px, #00aa00 10px, #00aa00 20px)"
2B,History,4,World History Structures,10,"repeating-radial-gradient(circle, #2ecc71, #2ecc71 5px, #145a32 5px, #145a32 12px)"
1B,Philosophy,1,Ancient Metaphysics,10,"linear-gradient(135deg, #a55eea, #4b1461)"
1B,Philosophy,2,Existentialist Essays,10,"radial-gradient(circle, #d6a2e8, #9b59b6, #4a235a)"
1B,Philosophy,3,Logical Positivism,10,"repeating-linear-gradient(45deg, #8e44ad, #8e44ad 10px, #6c3483 10px, #6c3483 20px)"
1B,Philosophy,4,Ethics & Moral Theory,10,"repeating-radial-gradient(circle, #a55eea, #a55eea 5px, #512da8 5px, #512da8 12px)"
2C,Geography,1,Physical Topography,10,"linear-gradient(135deg, #3498db, #0d47a1)"
2C,Geography,2,Climatic Atmosphere Maps,10,"radial-gradient(circle, #70a1ff, #1e90ff, #000080)"
2C,Geography,3,Oceanic Currents Studies,10,"repeating-linear-gradient(45deg, #0044ff, #0044ff 10px, #0011aa 10px, #0011aa 20px)"
2C,Geography,4,Global Economic Mapping,10,"repeating-radial-gradient(circle, #3498db, #3498db 5px, #1a5276 5px, #1a5276 12px)"
1C,Arts,1,Renaissance Painting,10,"linear-gradient(135deg, #1abc9c, #0e6251)"
1C,Arts,2,Baroque Music Theory,10,"radial-gradient(circle, #00d2d3, #16a085, #0b5345)"
1C,Arts,3,Modern Architecture,10,"repeating-linear-gradient(45deg, #1abc9c, #1abc9c 10px, #117a65 10px, #117a65 20px)"
1C,Arts,4,Cinematic Evolution,10,"repeating-radial-gradient(circle, #01cbc6, #01cbc6 5px, #00565b 5px, #00565b 12px)"
2D,Math,1,Foundational Arithmetic,10,"linear-gradient(135deg, #f1c40f, #7f6000)"
2D,Math,2,Algebraic Equations Grid,10,"radial-gradient(circle, #ffeaa7, #fdcb6e, #b7791f)"
2D,Math,3,Geometric Space Calculus,10,"repeating-linear-gradient(45deg, #ffff00, #ffff00 10px, #b8860b 10px, #b8860b 20px)"
2D,Math,4,Statistical Probability,10,"repeating-radial-gradient(circle, #f1c40f, #f1c40f 5px, #9a7d0a 5px, #9a7d0a 12px)"
1D,Economics,1,Macroeconomic Systems,10,"linear-gradient(135deg, #718093, #2f3640)"
1D,Economics,2,Micro Market Dynamics,10,"radial-gradient(circle, #b2bec3, #636e72, #212121)"
1D,Economics,3,Fiscal Policy Analysis,10,"repeating-linear-gradient(45deg, #34495e, #34495e 10px, #2c3e50 10px, #2c3e50 20px)"
1D,Economics,4,Banking & Currencies,10,"repeating-radial-gradient(circle, #718093, #718093 5px, #1c2833 12px, #1c2833 12px)"
2E,Science,1,Atomic Matter Physics,10,"linear-gradient(135deg, #00ffff, #006666)"
2E,Science,2,Organic Chemical Bonds,10,"radial-gradient(circle, #e0ffff, #00eeee, #004d4d)"
2E,Science,3,Biological Systems Evolution,10,"repeating-linear-gradient(45deg, #11ffff, #11ffff 10px, #00aaaa 10px, #00aaaa 20px)"
2E,Science,4,Astrophysical Space Theory,10,"repeating-radial-gradient(circle, #00ffff, #00ffff 5px, #0e6655 5px, #0e6655 12px)"
1E,Astronomy,1,Planetary Mechanics,10,"linear-gradient(135deg, #95a5a6, #34495e)"
1E,Astronomy,2,Stellar Life Cycles,10,"radial-gradient(circle, #dcdde1, #7f8c8d, #2c3e50)"
1E,Astronomy,3,Galactic Clustering,10,"repeating-linear-gradient(45deg, #95a5a6, #95a5a6 10px, #5d6d7e 10px, #5d6d7e 20px)"
1E,Astronomy,4,Cosmological Constants,10,"repeating-radial-gradient(circle, #7f8c8d, #7f8c8d 5px, #1a252f 5px, #1a252f 12px)"
2F,Bengali,1,Bengali Grammar Patterns,10,"linear-gradient(135deg, #ff00ff, #660066)"
2F,Bengali,2,Classic Literary Prose,10,"radial-gradient(circle, #f8a5c2, #ee00ee, #4a004a)"
2F,Bengali,3,Modern Poetry Anthology,10,"repeating-linear-gradient(45deg, #ff11ff, #ff11ff 10px, #aa00aa 10px, #aa00aa 20px)"
2F,Bengali,4,Cultural Drama Essays,10,"repeating-radial-gradient(circle, #ee11ee, #ee11ee 5px, #6c3483 5px, #6c3483 12px)"
1F,Engineering,1,Structural Integrity,10,"linear-gradient(135deg, #27ae60, #0e3a1d)"
1F,Engineering,2,Thermodynamic Flow,10,"radial-gradient(circle, #a3cb38, #2ecc71, #062310)"
1F,Engineering,3,Digital Logic Design,10,"repeating-linear-gradient(45deg, #27ae60, #27ae60 10px, #196f3d 10px, #196f3d 20px)"
1F,Engineering,4,Fluid Dynamics Systems,10,"repeating-radial-gradient(circle, #2ecc71, #2ecc71 5px, #145a32 5px, #145a32 12px)"
